section,row,seat,x,y
316,11,3,6735.49,6562.71
316,11,4,6721.94,6566.24
316,11,5,6708.39,6569.77
316,11,6,6694.84,6573.3
316,11,7,6681.3,6576.83
316,11,8,6667.75,6580.36
316,11,9,6654.2,6583.88
316,11,10,6640.65,6587.41
316,11,11,6627.1,6590.94
316,11,12,6613.56,6594.47
316,11,13,6600.01,6598
316,11,14,6586.46,6601.53
316,11,15,6572.91,6605.06
316,11,16,6559.37,6608.59
316,11,17,6545.82,6612.12
316,11,18,6532.27,6615.65
316,11,19,6518.72,6619.17
316,11,20,6505.17,6622.7
316,11,21,6491.63,6626.23
316,11,22,6478.08,6629.76
316,11,23,6464.53,6633.29
316,11,24,6450.98,6636.82
316,12,1,6768.76,6579.36
316,12,2,6755.21,6582.89
316,12,3,6741.66,6586.42
316,12,4,6728.12,6589.95
316,12,5,6714.57,6593.48
316,12,6,6701.02,6597.01
316,12,7,6687.47,6600.54
316,12,8,6673.92,6604.06
316,12,9,6660.38,6607.59
316,12,10,6646.83,6611.12
316,12,11,6633.28,6614.65
316,12,12,6619.73,6618.18
316,12,13,6606.18,6621.71
316,12,14,6592.64,6625.24
316,12,15,6579.09,6628.77
316,12,16,6565.54,6632.3
316,12,17,6551.99,6635.82
316,12,18,6538.44,6639.35
316,12,19,6524.9,6642.88
316,12,20,6511.35,6646.41
316,12,21,6497.8,6649.94
316,12,22,6484.25,6653.47
316,12,23,6470.71,6657
316,12,24,6457.16,6660.53
316,13,1,6774.94,6603.07
316,13,2,6761.39,6606.6
316,13,3,6747.84,6610.13
316,13,4,6734.29,6613.66
316,13,5,6720.74,6617.19
316,13,6,6707.2,6620.72
316,13,7,6693.65,6624.24
316,13,8,6680.1,6627.77
316,13,9,6666.55,6631.3
316,13,10,6653,6634.83
316,13,11,6639.46,6638.36
316,13,12,6625.91,6641.89
316,13,13,6612.36,6645.42
316,13,14,6598.81,6648.95
316,13,15,6585.26,6652.48
316,13,16,6571.72,6656
316,13,17,6558.17,6659.53
316,13,18,6544.62,6663.06
316,13,19,6531.07,6666.59
316,13,20,6517.52,6670.12
316,13,21,6503.98,6673.65
316,13,22,6490.43,6677.18
